PrdBrief,PrdCode,Risk,BeginDate,EndDate,ShowExpireDate,SaleChannelName,AreaCode
招银理财中证500固指增强2号,126005,R5(激进型),2022-06-20,2022-06-22,2025-06-20,全球连线手机|全球连线网银|托管网银,全行
招银理财中证500固指增强1号,126004,R5(激进型),2022-06-17,2022-06-20,2025-06-20,全球连线手机|全球连线网银|托管网银,全行
招银理财招睿睿远稳进两年封闭3A,103573A,R3(稳健型),2022-06-17,2022-06-23,2024-06-24,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿睿远稳进两年封闭3C,103573C,R3(稳健型),2022-06-17,2022-06-23,2024-06-24,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
华夏理财固收纯债一年定开7号B,HX020208,R2(谨慎型),2022-06-17,2022-06-23,2100-06-24,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招智睿远平衡五十一期A,103246A,R3(稳健型),2022-06-15,2022-06-21,2024-06-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财嘉鑫固收2022年第120期,JX010249,R3(稳健型),2022-06-15,2022-06-21,2023-07-25,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
兴银理财兴动多策略封闭式4号,XY010204,R2(谨慎型),2022-06-15,2022-06-21,2023-06-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
中银海外优选固收QDII美元封闭04（汇）,ZYD1202A,R2(谨慎型),2022-06-15,2022-06-22,2023-03-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
中银海外优选固收QDII美元封闭04（钞）,ZYD1202J,R2(谨慎型),2022-06-15,2022-06-22,2023-03-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿鑫远（尊享）2号,PB118702,R3(稳健型),2022-06-15,2022-06-21,2032-06-22,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财嘉鑫固收2022年第121期,JX010248,R3(稳健型),2022-06-15,2022-06-21,2024-08-06,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
交银理财稳享灵动慧利1年6号,JY020259,R2(谨慎型),2022-06-14,2022-06-22,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
中银理财-稳裕（3个月封闭式）22年09,ZY010220,R1(保守型),2022-06-14,2022-06-15,2022-09-23,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|全球连线电话银行,全行
招银理财中证500非对称指数增强1号,126002,R5(激进型),2022-06-13,2022-06-21,2023-06-28,全球连线手机|全球连线网银|托管网银,全行
招银理财中证500鲨鱼鳍一年3号,125011,R2(谨慎型),2022-06-13,2022-06-20,2023-06-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
交银理财稳享优加91天2号,JY020258,R2(谨慎型),2022-06-13,2022-06-20,2099-12-31,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财鑫远基础设施封闭1号C,112001C,R3(稳健型),2022-06-13,2022-06-20,2023-08-21,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财鑫远基础设施封闭1号A,112001A,R3(稳健型),2022-06-13,2022-06-20,2023-08-21,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利52号B,660052B,R2(谨慎型),2022-06-10,2022-06-16,2024-07-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿增利52号A,660052A,R2(谨慎型),2022-06-10,2022-06-16,2024-07-17,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财中证500看涨价差一年3号,125010,R2(谨慎型),2022-06-09,2022-06-13,2023-06-14,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财和鑫日开30天持有期1A,109701A,R2(谨慎型),2022-06-09,2022-06-15,2027-06-16,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
兴银理财兴动多策略封闭式3号,XY010203,R2(谨慎型),2022-06-09,2022-06-14,2023-06-21,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财中证500触发一年3号,125009,R2(谨慎型),2022-06-08,2022-06-13,2023-06-14,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
建信理财嘉鑫固收2022年第119期,JX010247,R3(稳健型),2022-06-02,2022-06-08,2023-07-11,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招睿颐养丰润三年封闭6C,100236C,R2(谨慎型),2022-05-31,2022-06-07,2025-06-08,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿颐养丰润三年封闭6B,100236B,R2(谨慎型),2022-05-31,2022-06-07,2025-06-08,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿颐养丰润三年封闭6A,100236A,R2(谨慎型),2022-05-31,2022-06-07,2025-06-08,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财招睿颐养丰润七月封闭4A,100074A,R2(谨慎型),2022-05-30,2022-06-06,2022-12-28,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
信银理财全盈象固收稳健26个月定开3号G,ZX020225,R2(谨慎型),2022-05-26,2022-06-01,2100-01-07,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
信银理财全盈象固收稳健26个月定开3号B,ZX020224,R2(谨慎型),2022-05-26,2022-06-01,2100-01-07,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
招银理财招智睿远平衡五十期A,103245A,R3(稳健型),2022-05-25,2022-05-31,2025-06-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财增利QD两年封闭1号,106801A,R2(谨慎型),2022-05-25,2022-05-31,2024-06-01,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财和鼎美元QD一年封闭1J-钞,107851J,R1(保守型),2022-05-25,2022-05-31,2023-06-02,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
招银理财和鼎美元QD一年封闭1A-汇,107851A,R1(保守型),2022-05-25,2022-05-31,2023-06-02,网银专业版|网银大众版|手机|全球连线手机|全球连线网银|托管网银,全行
光大理财阳光金15M丰利23期A,GD010208,R2(谨慎型),2022-05-25,2022-06-01,2023-09-04,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
光大理财阳光金15M丰利23期I私行尊享,GDPB0202,R2(谨慎型),2022-05-25,2022-06-01,2023-09-04,网银专业版|网银大众版|手机|全球连线手机|全球连线网银,全行
